DayDummy,Date,Hour,semesterBool,TMAX,TMIN,kW
1,9,5,1,73,48,1
1,9,6,1,73,48,1
1,9,7,1,73,48,2
1,9,8,1,73,48,2
1,9,9,1,73,48,3
1,9,10,1,73,48,3
1,9,11,1,73,48,3
1,9,12,1,73,48,3
1,9,13,1,73,48,3
1,9,14,1,73,48,3
1,9,15,1,73,48,3
1,9,16,1,73,48,3
1,9,17,1,73,48,3
1,9,18,1,73,48,3
1,9,19,1,73,48,2
1,9,20,1,73,48,2
1,9,21,1,73,48,2
1,9,22,1,73,48,1
1,9,23,1,73,48,1
1,10,0,1,67,50,1
1,10,1,1,67,50,1
1,10,2,1,67,50,1
1,10,3,1,67,50,1
1,10,4,1,67,50,1
1,10,5,1,67,50,1
1,10,6,1,67,50,1
1,10,7,1,67,50,1
1,10,8,1,67,50,2
1,10,9,1,67,50,2
1,10,10,1,67,50,1
1,10,11,1,67,50,3
1,10,12,1,67,50,3
1,10,13,1,67,50,3
1,10,14,1,67,50,3
1,10,15,1,67,50,3
1,10,16,1,67,50,3
1,10,17,1,67,50,3
1,10,18,1,67,50,3
1,10,19,1,67,50,2
1,10,20,1,67,50,2
1,10,21,1,67,50,2
1,10,22,1,67,50,1
1,10,23,1,67,50,2
1,11,0,1,66,45,1
1,11,1,1,66,45,1
1,11,2,1,66,45,1
1,11,3,1,66,45,1
1,11,4,1,66,45,1
1,11,5,1,66,45,1
1,11,6,1,66,45,1
1,11,7,1,66,45,1
1,11,8,1,66,45,2
1,11,9,1,66,45,2
1,11,10,1,66,45,3
1,11,11,1,66,45,3
1,11,12,1,66,45,3
1,11,13,1,66,45,3
1,11,14,1,66,45,3
1,11,15,1,66,45,3
1,11,16,1,66,45,3
1,11,17,1,66,45,3
1,11,18,1,66,45,2
1,11,19,1,66,45,2
1,11,20,1,66,45,1
1,11,21,1,66,45,1
1,11,22,1,66,45,1
1,11,23,1,66,45,1
0,12,0,1,69,47,1
0,12,1,1,69,47,1
0,12,2,1,69,47,3
0,12,3,1,69,47,1
0,12,4,1,69,47,3
0,12,5,1,69,47,3
0,12,6,1,69,47,1
0,12,7,1,69,47,3
0,12,8,1,69,47,1
0,12,9,1,69,47,1
0,12,10,1,69,47,1
0,12,11,1,69,47,1
0,12,12,1,69,47,2
0,12,13,1,69,47,2
0,12,14,1,69,47,2
0,12,15,1,69,47,2
0,12,16,1,69,47,2
0,12,17,1,69,47,2
0,12,18,1,69,47,2
0,12,19,1,69,47,1
0,12,20,1,69,47,1
0,12,21,1,69,47,1
0,12,22,1,69,47,1
0,12,23,1,69,47,1
0,13,0,1,63,47,1
0,13,1,1,63,47,1
0,13,2,1,63,47,1
0,13,3,1,63,47,3
0,13,4,1,63,47,3
0,13,5,1,63,47,1
0,13,6,1,63,47,1
0,13,7,1,63,47,3
0,13,8,1,63,47,1
0,13,9,1,63,47,1
0,13,10,1,63,47,1
0,13,11,1,63,47,1
0,13,12,1,63,47,1
0,13,13,1,63,47,1
0,13,14,1,63,47,1
0,13,15,1,63,47,2
0,13,16,1,63,47,1
0,13,17,1,63,47,1
0,13,18,1,63,47,1
0,13,19,1,63,47,1
0,13,20,1,63,47,1
0,13,21,1,63,47,1
0,13,22,1,63,47,1
0,13,23,1,63,47,1
1,14,0,1,70,51,1
1,14,1,1,70,51,1
1,14,2,1,70,51,1
1,14,3,1,70,51,1
1,14,4,1,70,51,1
1,14,5,1,70,51,1
1,14,6,1,70,51,1
1,14,7,1,70,51,1
1,14,8,1,70,51,1
1,14,9,1,70,51,2
1,14,10,1,70,51,3
1,14,11,1,70,51,3
1,14,12,1,70,51,3
1,14,13,1,70,51,3
1,14,14,1,70,51,3
1,14,15,1,70,51,3
1,14,16,1,70,51,3
1,14,17,1,70,51,3
1,14,18,1,70,51,2
1,14,19,1,70,51,2
1,14,20,1,70,51,2
1,14,21,1,70,51,1
1,14,22,1,70,51,1
1,14,23,1,70,51,1
1,15,0,1,65,53,1
1,15,1,1,65,53,1
1,15,2,1,65,53,1
1,15,3,1,65,53,1
1,15,4,1,65,53,1
1,15,5,1,65,53,1
1,15,6,1,65,53,1
1,15,7,1,65,53,1
1,15,8,1,65,53,1
1,15,9,1,65,53,3
1,15,10,1,65,53,3
1,15,11,1,65,53,3
1,15,12,1,65,53,3
1,15,13,1,65,53,3
1,15,14,1,65,53,3
1,15,15,1,65,53,3
1,15,16,1,65,53,3
1,15,17,1,65,53,3
1,15,18,1,65,53,2
1,15,19,1,65,53,3
1,15,20,1,65,53,2
1,15,21,1,65,53,2
1,15,22,1,65,53,2
1,15,23,1,65,53,1
1,16,0,1,69,50,1
1,16,1,1,69,50,1
1,16,2,1,69,50,1
1,16,3,1,69,50,1
1,16,4,1,69,50,1
1,16,5,1,69,50,1
1,16,6,1,69,50,1
1,16,7,1,69,50,1
1,16,8,1,69,50,2
1,16,9,1,69,50,3
1,16,10,1,69,50,3
1,16,11,1,69,50,3
1,16,12,1,69,50,3
1,16,13,1,69,50,3
1,16,14,1,69,50,3
1,16,15,1,69,50,3
1,16,16,1,69,50,3
1,16,17,1,69,50,3
1,16,18,1,69,50,3
1,16,19,1,69,50,3
1,16,20,1,69,50,3
1,16,21,1,69,50,2
1,16,22,1,69,50,2
1,16,23,1,69,50,1
1,17,0,1,69,48,1
1,17,1,1,69,48,1
1,17,2,1,69,48,1
1,17,3,1,69,48,1
1,17,4,1,69,48,1
1,17,5,1,69,48,1
1,17,6,1,69,48,1
1,17,7,1,69,48,2
1,17,8,1,69,48,2
1,17,9,1,69,48,2
1,17,10,1,69,48,3
1,17,11,1,69,48,3
1,17,12,1,69,48,3
1,17,13,1,69,48,3
1,17,14,1,69,48,3
1,17,15,1,69,48,3
1,17,16,1,69,48,3
1,17,17,1,69,48,3
1,17,18,1,69,48,2
1,17,19,1,69,48,2
1,17,20,1,69,48,2
1,17,21,1,69,48,2
1,17,22,1,69,48,1
1,17,23,1,69,48,1
1,18,0,1,70,51,1
1,18,1,1,70,51,1
1,18,2,1,70,51,1
1,18,3,1,70,51,1
1,18,4,1,70,51,1
1,18,5,1,70,51,1
1,18,6,1,70,51,1
1,18,7,1,70,51,1
1,18,8,1,70,51,2
1,18,9,1,70,51,2
1,18,10,1,70,51,3
1,18,11,1,70,51,3
1,18,12,1,70,51,3
1,18,13,1,70,51,3
1,18,14,1,70,51,3
1,18,15,1,70,51,3
1,18,16,1,70,51,3
1,18,17,1,70,51,3
1,18,18,1,70,51,2
1,18,19,1,70,51,2
1,18,20,1,70,51,2
1,18,21,1,70,51,2
1,18,22,1,70,51,1
1,18,23,1,70,51,1
0,19,0,1,71,44,1
0,19,1,1,71,44,1
0,19,2,1,71,44,1
0,19,3,1,71,44,1
0,19,4,1,71,44,1
0,19,5,1,71,44,1
0,19,6,1,71,44,1
0,19,7,1,71,44,1
0,19,8,1,71,44,1
0,19,9,1,71,44,2
0,19,10,1,71,44,2
0,19,11,1,71,44,2
0,19,12,1,71,44,2
0,19,13,1,71,44,2
0,19,14,1,71,44,2
0,19,15,1,71,44,2
0,19,16,1,71,44,2
0,19,17,1,71,44,2
0,19,18,1,71,44,2
0,19,19,1,71,44,2
0,19,20,1,71,44,2
0,19,21,1,71,44,2
